"season","games_played","wins","losses","win_pct","avg_points","avg_fgm","avg_fga","fg_pct","avg_fgm3","avg_fga3","fg3_pct","avg_ftm","avg_fta","ft_pct","avg_oreb","avg_dreb","avg_reb","avg_ast","avg_stl","avg_blk","avg_pf","avg_to","avg_pts_paint","avg_pts_to","avg_pts_ch2","avg_pts_fastb","avg_pts_bench"
"2019 - 2020","28","23","5","0.821","71.7","25.3","56.4","0.449","7.6","22.7","0.336","13.4","18.2","0.737","11.7","31.3","42.9","14.0","5.1","3.2","18.1","16.5","32.4","11.3","11.3","5.9","19.3"
"2021 - 2022","26","12","14","0.462","73.3","27.2","61.0","0.446","6.7","21.7","0.309","12.2","17.3","0.706","11.7","27.9","39.5","12.5","5.1","2.7","18.5","15.3","35.8","12.4","11.8","8.2","28.0"
"2022 - 2023","27","17","10","0.630","73.9","27.4","58.5","0.468","6.6","19.8","0.333","12.5","19.6","0.639","12.1","28.3","40.4","14.0","4.1","2.0","16.9","13.1","37.7","10.3","11.2","3.1","18.3"
"2023 - 2024","28","22","6","0.786","71.0","25.7","58.9","0.436","5.3","16.7","0.316","14.4","20.2","0.713","11.7","26.4","38.1","10.8","6.8","3.1","15.4","11.7","34.4","13.5","11.3","7.1","20.0"
"2024 - 2025","26","16","10","0.615","69.0","25.2","59.5","0.424","6.8","20.5","0.334","11.7","19.1","0.613","11.0","26.6","37.7","12.5","8.0","3.5","17.2","11.9","32.2","14.5","11.8","9.0","21.8"
