"season","possessions","efg_pct","ts_pct","off_rating","tov_pct","ast_to_ratio","assist_pct","oreb_pct","dreb_pct","pct_pts_3pt","pct_pts_ft","pct_pts_bench","pct_pts_paint","pct_pts_fastb","pct_pts_ch2","pct_pts_to","fta_rate","fga3_rate","play_pct"
"2019 - 2020","69.85","0.516","0.557","102.66","0.236","0.85","0.553","0.273","0.730","0.318","0.187","0.269","0.452","0.082","0.158","0.158","0.323","0.402","0.413"
"2021 - 2022","72.82","0.501","0.534","100.66","0.210","0.82","0.460","0.296","0.706","0.274","0.166","0.382","0.488","0.112","0.161","0.169","0.284","0.356","0.421"
"2022 - 2023","68.81","0.525","0.550","107.40","0.190","1.07","0.511","0.300","0.700","0.268","0.169","0.248","0.510","0.042","0.152","0.139","0.335","0.338","0.461"
"2023 - 2024","68.50","0.481","0.524","103.66","0.171","0.92","0.420","0.307","0.693","0.224","0.203","0.282","0.485","0.100","0.159","0.190","0.343","0.284","0.436"
"2024 - 2025","69.47","0.481","0.508","99.32","0.171","1.05","0.496","0.292","0.706","0.296","0.170","0.316","0.467","0.130","0.171","0.210","0.321","0.345","0.417"
