"season","games_played","avg_fgm","avg_fga","fg_pct","avg_fgm3","avg_fga3","fg3_pct","avg_ftm","avg_fta","ft_pct","avg_points","avg_oreb","avg_dreb","avg_reb","avg_ast","avg_stl","avg_blk","avg_pf","avg_to","avg_pts_paint","avg_pts_to","avg_pts_ch2","avg_pts_fastb","avg_pts_bench"
"2019 - 2020","10","25.8","55.8","0.462","8.0","22.1","0.362","12.7","16.4","0.774","72.3","11.7","30.1","41.8","14.4","4.1","3.3","17.5","16.6","33.6","10.6","11.9","4.7","16.6"
"2021 - 2022","7","27.6","59.1","0.466","7.0","20.9","0.336","10.4","14.1","0.737","72.6","8.9","26.3","35.1","12.7","5.1","2.7","16.0","13.7","36.6","12.3","10.6","7.0","29.0"
"2022 - 2023","9","26.1","54.0","0.484","6.1","17.0","0.359","14.9","22.7","0.657","73.2","11.3","28.3","39.7","12.6","4.2","1.6","17.9","14.6","36.9","10.3","11.1","3.4","19.4"
"2023 - 2024","9","25.3","57.9","0.438","5.2","15.8","0.331","16.3","24.2","0.674","72.2","12.2","25.6","37.8","10.0","5.8","2.2","15.3","10.6","34.2","15.7","12.2","7.6","22.6"
"2024 - 2025","9","25.8","61.6","0.419","6.1","18.9","0.324","14.8","21.6","0.686","72.4","11.0","26.0","37.0","12.3","8.6","2.7","17.6","10.7","34.7","13.4","13.6","10.1","25.0"
