"opponent_id","opponent_name","games_played","wins_against_hobart","win_percentage"
"RPI","Rensselaer","10","7","0.700"
"ITH","Ithaca","11","6","0.545"
"SLU","St. Lawrence","12","5","0.417"
"UNI","Union","11","4","0.364"
"VAS","Vassar","11","3","0.273"
