"month","games_played","avg_points","avg_fgm","avg_fga","fg_pct","avg_fgm3","avg_fga3","fg3_pct","avg_ftm","avg_fta","ft_pct","avg_oreb","avg_dreb","avg_reb","avg_ast","avg_stl","avg_blk","avg_pf","avg_to","avg_pts_paint","avg_pts_to","avg_pts_ch2","avg_pts_fastb","avg_pts_bench"
"January  ","42","68.9","24.7","58.3","0.424","7.2","22.8","0.315","12.2","18.0","0.681","7.9","23.0","30.8","12.0","6.9","3.2","18.2","11.4","29.9","13.8","7.5","6.0","20.2"
"February ","43","66.0","24.1","57.9","0.416","6.2","20.1","0.310","11.6","16.4","0.704","8.5","23.8","32.4","10.7","6.4","3.4","16.5","11.4","30.2","13.4","7.7","6.6","16.7"
"March    ","3","71.3","25.7","62.7","0.410","4.3","18.3","0.236","15.7","21.0","0.746","12.3","22.7","35.0","8.7","8.0","4.0","20.0","9.0","36.0","18.3","12.0","15.7","18.7"
"November ","28","66.6","24.1","59.5","0.405","6.8","22.1","0.306","11.7","17.0","0.691","9.1","22.7","31.8","11.6","8.0","3.6","18.0","12.9","28.7","16.0","8.1","7.7","19.9"
"December ","19","62.7","22.9","58.1","0.395","6.9","22.8","0.305","9.8","15.1","0.652","8.5","22.5","30.9","11.1","5.4","3.5","16.7","11.6","27.2","11.1","7.1","4.8","18.5"
